Une rivière des Corbières,Claude Nougaro,1997,https://genius.com/Claude-nougaro-une-riviere-des-corbieres-lyrics
Une rose dans le desert,Frederic Francois,2007,https://genius.com/Frederic-francois-une-rose-dans-le-desert-lyrics
Une seconde d'éternité,Linkup,2003,https://genius.com/Linkup-une-seconde-deternite-lyrics
Une seule journée passée sans elle,Michel Jonasz,1983,https://genius.com/Michel-jonasz-une-seule-journee-passee-sans-elle-lyrics
Une seule vie,Gérald    De Palmas,2000,https://genius.com/Gerald-de-palmas-une-seule-vie-lyrics
Une simple histoire d’amour,Frederic Francois,1988,https://genius.com/Frederic-francois-une-simple-histoire-damour-lyrics
Une simple mélodie,Michel Polnareff,1978,https://genius.com/Michel-polnareff-une-simple-melodie-lyrics
Une souris verte,Zazie,1995,https://genius.com/Zazie-une-souris-verte-lyrics
Une star à sa façon,Francis Cabrel,1979,https://genius.com/Francis-cabrel-une-star-a-sa-facon-lyrics
Une suite heureuse,Alain Chamfort,1976,https://genius.com/Alain-chamfort-une-suite-heureuse-lyrics
Une terre promise,Eddy Mitchell,1975,https://genius.com/Eddy-mitchell-une-terre-promise-lyrics
Une tete a deux places,Julie Zenatti,2010,https://genius.com/Julie-zenatti-une-tete-a-deux-places-lyrics
Une valse,Edith Piaf,1962,https://genius.com/Edith-piaf-une-valse-lyrics
Une vie,Dalida,1973,https://genius.com/Dalida-une-vie-lyrics
Une vie comme ça,Yves Simon,1981,https://genius.com/Yves-simon-une-vie-comme-ca-lyrics
Une vie d'amour,Charles Aznavour,1981,https://genius.com/Charles-aznavour-une-vie-damour-lyrics
Une vie de chien,Louis Bertignac,1994,https://genius.com/Louis-bertignac-une-vie-de-chien-lyrics
Une vie de rien,Julien Clerc,2005,https://genius.com/Julien-clerc-une-vie-de-rien-lyrics
Une vie entière,Dick Rivers,1969,https://genius.com/Dick-rivers-une-vie-entiere-lyrics
Une vie moins ordinaire,Grégory Lemarchal,2005,https://genius.com/Gregory-lemarchal-une-vie-moins-ordinaire-lyrics
Une vie moins ordinaire,Les Innocents,1999,https://genius.com/Les-innocents-une-vie-moins-ordinaire-lyrics
Une vie perilleuse,Jenifer,2016,https://genius.com/Jenifer-une-vie-perilleuse-lyrics
Une vie pour de vrai,Patrick Fiori,1998,https://genius.com/Patrick-fiori-une-vie-pour-de-vrai-lyrics
Une ville bien ordinaire,Robert Charlebois,1996,https://genius.com/Robert-charlebois-une-ville-bien-ordinaire-lyrics
Une voix qui t’appelle,Hervé Vilard,1965,https://genius.com/Herve-vilard-une-voix-qui-tappelle-lyrics
Une vue sur mer,Elsa,2008,https://genius.com/Elsa-lunghini-une-vue-sur-mer-lyrics
Unfinished songs,Céline Dion,2013,https://genius.com/Celine-dion-unfinished-songs-lyrics
Union war,Indochine,2009,https://genius.com/Indochine-union-war-lyrics
Unis vers l'uni,Michel Jonasz,1985,https://genius.com/Michel-jonasz-unis-vers-luni-lyrics
Unisex  ,Christophe Willem,2014,https://genius.com/Christophe-willem-unisex-lyrics
Unisexe,Indochine,1996,https://genius.com/Indochine-unisexe-lyrics
Univers,Jean-Louis Aubert,1989,https://genius.com/Jean-louis-aubert-univers-lyrics
Uns drôle de danse,Michel Sardou,1977,https://genius.com/Michel-sardou-une-drole-de-danse-lyrics
Unter den Linden,Yves Simon,1988,https://genius.com/Yves-simon-unter-den-linden-lyrics
Until it’s time for you to go,Françoise Hardy,1972,https://genius.com/Francoise-hardy-until-its-time-for-you-to-go-lyrics
Uomini soli,Hélène Ségara,2016,https://genius.com/Helene-segara-uomini-soli-lyrics
Up where i belong,Ophélie Winter  ,1998,https://genius.com/Ophelie-winter-up-where-i-belong-lyrics
